TEACHERS EMPLOYED FOR THE LEGAL TERM  
IN THE PUBLIC SCHOOLS OF NEW YORK STATE  
1845 – 1945  

| YEAR | NUMBER | CITIES | VILLAGES (UNDER SUPT'S) | RURAL AREAS |
|------|--------|--------|-------------------------|--------------|
| 1845 | 11,000 | 4      | 8                       | 12           |
| 1855 | 13,571 | 12     | 16                      | 20           |
| 1865 | 15,478 | 20     | 24                      | 28           |
| 1875 | 19,073 | 28     | 32                      | 36           |
| 1885 | 21,824 | 36     | 40                      | 44           |
| 1895 | 26,689 | 44     | 48                      | 52           |
| 1905 | 36,115 | 52     | 60                      | 64           |
| 1915 | 47,381 | 64     | 72                      | 80           |
| 1925 | 64,321 |        |                         |              |
| 1935 | 78,932 |        |                         |              |
| 1945 | 70,500*|        |                         |              |

*ESTIMATE, ACTUAL FIGURES NOT AVAILABLE  

[stamp: New York State Archives]
