[Page 11]

Sardinia School, Bump Principal, Henry E. Hoepfelm
Union School, Shananeels Falls, B. J. Par
Sewards High School, Seward S. Travis, Principal
Valatie High School, John B. Palmer, Principal
Schenuess High School, A. Herbert Campbell, Principal
Franklin Central School, O. P. Leavitt, Principal
Schenectady Union School, Clarence Fleet, Principal
Valley Stream School, Harry W. Gross, Principal
Union School, Waterport, Frank K. Knapp, Principal
Howard High School, Washington Academy, Salem J. D. Edwards, Principal
Sherman Collegiate High School, K. King, Principal
Collegiate High School, William G. Miller, Principal
Watkins Glen High School, J. A. Beers, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox, Principal
Westmoreland Union School, John E. Wilcox,
