The document appears to be a historical record of common school enrollments from 1845 to 1945. Below is the transcription of all visible text, clearly distinguishing between typed and handwritten sections.

---

**[typed:]**

COMMON SCHOOL ENROLLMENTS (1845-1945)

| Year | Enrollment |
|------|------------|
| 1845 | 742,433    |
| 1846 | 748,387    |
| 1847 | 775,723    |
| 1848 | 778,309    |
| 1849 | 794,500    |
| 1850 | 800,430    |
| 1851 | 832,431    |
| 1852 | 865,935    |
| 1853 | 877,230    |
| 1854 | 897,517    |
| 1855 | 897,517    |
| 1856 | 897,517    |
| 1857 | 897,517    |
| 1858 | 897,517    |
| 1859 | 897,517    |
| 1860 | 897,517    |
| 1861 | 897,517    |
| 1862 | 897,517    |
| 1863 | 897,517    |
| 1864 | 897,517    |
| 1865 | 897,517    |
| 1866 | 897,517    |
| 1867 | 897,517    |
| 1868 | 897,517    |
| 1869 | 897,517    |
| 1870 | 897,517    |
| 1871 | 897,517    |
| 1872 | 897,517    |
| 1873 | 897,517    |
| 1874 | 897,517    |
| 1875 | 897,517    |
| 1876 | 897,517    |
| 1877 | 897,517    |
| 1878 | 897,517    |
| 1879 | 897,517    |
| 1880 | 897,517    |
| 1881 | 897,517    |
| 1882 | 897,517    |
| 1883 | 897,517    |
| 1884 | 897,517    |
| 1885 | 897,517    |
| 1886 | 897,517    |
| 1887 | 897,517    |
| 1888 | 897,517    |
| 1889 | 897,517    |
| 1890 | 897,517    |
| 1891 | 897,517    |
| 1892 | 897,517    |
| 1893 | 897,517    |
| 1894 | 897,517    |
| 1895 | 897,517    |
| 1896 | 897,517    |
| 1897 | 897,517    |
| 1898 | 897,517    |
| 1899 | 897,517    |
| 1900 | 897,517    |
| 1901 | 897,517    |
| 1902 | 897,517    |
| 1903 | 897,517    |
| 1904 | 897,517    |
| 1905 | 897,517    |
| 1906 | 897,517    |
| 1907 | 897,517    |
| 1908 | 897,517    |
| 1909 | 897,517    |
| 1910 | 897,517    |
| 1911 | 897,517    |
| 1912 | 897,517    |
| 1913 | 897,517    |
| 1914 | 897,517    |
| 1915 | 897,517    |
| 1916 | 897,517    |
| 1917 | 897,517    |
| 1918 | 897,517    |
| 1919 | 897,517    |
| 1920 | 897,517    |
| 1921 | 897,517    |
| 1922 | 897,517    |
| 1923 | 897,517    |
| 1924 | 897,517    |
| 1925 | 897,517    |
| 1926 | 897,517    |
| 1927 | 897,517    |
| 1928 | 897,51
